name,name,url
ああああ,いいい,https://dance-studio-lab.com/room/NjMxOGNiYmEtZmU2NS00YWQwLTlkMDgtOGYxM2UwOGM4ZDZi/detail
BUZZ渋谷TOWER,7-1st,https://dance-studio-lab.com/room/OGNhMDE1N2QtYTAwNS00NGM3LWJiZjMtZTNlODAyZjJmNjU3/detail
BUZZ巣鴨,Bst ,https://dance-studio-lab.com/room/MmNjNjkxYjEtYjA5ZC00YTZkLWFjMTAtZmVhYzQ1MGY0M2Uy/detail
BUZZ新宿,Ast,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail
BUZZ新宿コンシェルジュ,1st,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail
BUZZ池袋東口BASE,2st,https://dance-studio-lab.com/room/NWY2ZjE2OGUtZDYyYi00ZTk5LThlMjctZDI1YjllMmRjM2Jk/detail
BUZZ池袋東口BASE,3st,https://dance-studio-lab.com/room/YmY3ZDE0NTUtNWRhZi00ZmEzLWJkZmMtYTQyMDY4ZWUxZmI4/detail
BUZZ渋谷MARKCITY,2Ast,https://dance-studio-lab.com/room/MTJmOWU1NGQtYmViZC00YWEzLWI5Y2ItNGFhYzU3YTAyZTBk/detail
BUZZ川崎,406st,https://dance-studio-lab.com/room/OTQ1NGFkZmEtOTQyNS00Nzg1LTg0MDgtNzg4ODFjYWY0ZjZl/detail
BUZZ関内,Ast,https://dance-studio-lab.com/room/OWEzMTEwNDEtMjc2Yi00NzA0LTk0NmMtYTU1NGNhNTY4YTM3/detail
BUZZ高田馬場,2st,https://dance-studio-lab.com/room/NjZiZWQwNjEtYmU0ZS00MDllLWI0M2UtNmYxZjdhOWUwY2Mz/detail
BUZZ高田馬場,3st,https://dance-studio-lab.com/room/MzcyMGI1MzctODUwMy00ZDg1LTk4ZTctMjFmODA3MTNmZWY5/detail
THビル,TH2B　,https://dance-studio-lab.com/room/MDM3ZTgxMTktNzJjNS00ZDk1LWE3YjktYjYyNzg0OTlkZTI3/detail
Dubway レンタルスタジオ大塚,Dubway Dance Lab 撮影スタジオ　大塚 A Room,https://dance-studio-lab.com/room/ODA1MWRkOGQtODA5Yi00NTRlLWIyNzktZmMyNWFkMTc3ZDY4/detail
レンタルスタジオAivic渋谷道玄坂,レンタルスタジオAivic渋谷道玄坂,https://dance-studio-lab.com/room/NWE2MDljYmItN2I0ZC00ZjIzLWI3MGEtMmZiNmEzNWJjOWI4/detail
レンタルスタジオAivic神田,レンタルスタジオAivic神田,https://dance-studio-lab.com/room/MzE4YmJlMGMtZTc3Yy00OTIwLTg3ZTMtZDQxN2E4Yzc1YTFj/detail
チェリッシュスタジオ3号館/10号館,チェリッシュスタジオ10号館,https://dance-studio-lab.com/room/NmM0ZTU1ZjctOTRiOC00YjNkLTlhYWEtNmM2YjI4YjI1NGMz/detail
