studio_title,api_status,google_name,match_confidence,website_uri,url_accessible,google_address,query_used
トゥモローダンスクラブ｜日暮里教室,OK,Tomorrow Dance Club｜日暮里教室,0.3,https://lin.ee/I6f66Rl,False,〒116-0013 東京都荒川区西日暮里２丁目２６−１０ 日暮里プラレールビル 5階 J DANCERS LABO内,トゥモローダンスクラブ｜日暮里教室 東京都荒川区西日暮里
ガルバスタジオ幡ヶ谷/GARBA写真館,OK,ガルバスタジオ幡ヶ谷/GARBA写真館,1.0,https://garbastudiohatagaya.com/,False,〒151-0072 東京都渋谷区幡ケ谷２丁目１７−７,ガルバスタジオ幡ヶ谷/GARBA写真館 東京都渋谷区幡ケ谷
キッズダンススタジオSerenita西新井店,OK,キッズダンススタジオSerenita西新井店,1.0,http://yoga-serenita.com/kidsdance,False,〒123-0842 東京都足立区栗原１丁目７−２０ 3階,キッズダンススタジオSerenita西新井店 東京都足立区栗原
キャナリー,OK,Canari vintage 代々木八幡,0.0,http://canari-vintage.com/,False,〒151-0064 東京都渋谷区上原１丁目４７−４,キャナリー 東京都渋谷区渋谷
"レンタルスタジオDance""MOVE""!!",OK,"ダンスムーヴ Dance""MOVE""!!",0.75,https://www.instagram.com/mikimove.miki?igsh=MXBza25xOW0zdnIyNA%3D%3D&utm_source=qr,True,〒165-0027 東京都中野区野方５丁目３０−６ ひろきやビル 2階,"レンタルスタジオDance""MOVE""!! 東京都中野区野方"
ささらバレエアカデミー 平井駅,OK,ささらバレエアカデミー 平井駅,1.0,https://sasala-ballet.com/,False,〒132-0035 東京都江戸川区平井５丁目２２−１２,ささらバレエアカデミー 平井駅 東京都江戸川区平井
サムシン コンビニエンス スタジオ,OK,サムシン コンビニエンス スタジオ,1.0,http://sumthin-studio.com/,False,〒104-0032 東京都中央区八丁堀２丁目１−２ 水澤ビル 3F,サムシン コンビニエンス スタジオ 東京都中央区八丁堀
サン・スタジオ,OK,サン・スタジオ,1.0,http://www.sun-studio1.com/,False,〒152-0034 東京都目黒区緑が丘２丁目７−８,サン・スタジオ 東京都目黒区緑が丘
BUZZ田無,OK,BUZZ田無,1.0,https://buzz-st.com/tanashi/,False,〒188-8511 東京都西東京市田無町３丁目１０−１５ 京屋ビル 2階,BUZZ田無 東京都西東京市田無町
ジムスタジオ IT'S MY TIME府中駅前店,OK,ジムスタジオ IT'S MY TIME府中駅前店,1.0,http://mytime2000.com/,True,〒183-0023 東京都府中市宮町１丁目23−３ 関口ビル 1階,ジムスタジオ IT'S MY TIME府中駅前店 東京都府中市宮町
