station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1131131,1131131,甲府,甲府,山梨県,甲府市,甲府市,甲府市丸の内１丁目,35.667054,138.569015,JR中央本線(東京～塩尻)|JR身延線,JR東日本|JR東海,2,C,38,駅データ.jp
1131153,1131153,塩尻,塩尻,長野県,塩尻市,塩尻市,塩尻市大門八番町９-１,36.114364,137.947961,JR中央本線(名古屋～塩尻)|JR中央本線(東京～塩尻)|JR篠ノ井線,JR東日本|JR東海,3,C,32,駅データ.jp
1131203,1131203,御茶ノ水,秋葉原,東京都,千代田区,千代田区,千代田区神田駿河台二丁目6-1,35.698052,139.765676,JR中央・総武線|JR中央線(快速)|東京メトロ丸ノ内線|東京メトロ千代田線|都営新宿線,JR東日本|東京メトロ|東京都交通局,5,C,35,駅データ.jp
1131214,1131214,中野,中野,東京都,中野区,中野区,中野区中野５丁目,35.705765,139.665835,JR中央・総武線|JR中央線(快速)|東京メトロ東西線,JR東日本|東京メトロ,3,A,60,駅データ.jp
1131217,1131217,荻窪,荻窪,東京都,杉並区,杉並区,杉並区上荻１丁目,35.70445,139.620111,JR中央・総武線|JR中央線(快速)|東京メトロ丸ノ内線,JR東日本|東京メトロ,3,C,24,駅データ.jp
1131308,1131308,東中野,東中野,東京都,中野区,中野区,中野区東中野４丁目,35.70671,139.683712,JR中央・総武線|都営大江戸線,JR東日本|東京都交通局,2,C,23,駅データ.jp
1131315,1131315,市ケ谷,四ツ谷,東京都,千代田区,千代田区,千代田区五番町2-1,35.691729,139.736465,JR中央・総武線|東京メトロ南北線|東京メトロ有楽町線|都営新宿線,JR東日本|東京メトロ|東京都交通局,4,C,30,駅データ.jp
1131316,1131316,飯田橋,飯田橋,東京都,千代田区,千代田区,東京都千代田区飯田橋四丁目10-2,35.702071,139.744693,JR中央・総武線|東京メトロ南北線|東京メトロ有楽町線|東京メトロ東西線|都営大江戸線,JR東日本|東京メトロ|東京都交通局,5,C,35,駅データ.jp
1131322,1131322,錦糸町,錦糸町,東京都,墨田区,墨田区,墨田区江東橋３丁目,35.697061,139.814404,JR中央・総武線|JR総武本線|東京メトロ半蔵門線,JR東日本|東京メトロ,3,A,60,駅データ.jp
1131327,1131327,市川,市川,千葉県,市川市,市川市,市川市市川１丁目,35.728903,139.908142,JR中央・総武線|JR総武本線,JR東日本,2,C,23,駅データ.jp
1131328,1131328,本八幡,本八幡,千葉県,市川市,市川市,市川市八幡２丁目,35.722546,139.927399,JR中央・総武線|京成本線|都営新宿線,JR東日本|京成電鉄|東京都交通局,3,C,24,駅データ.jp
1131331,1131331,船橋,船橋,千葉県,船橋市,船橋市,船橋市本町７丁目,35.701498,139.984806,JR中央・総武線|JR総武本線|京成本線|東武アーバンパークライン（東武野田線）,JR東日本|京成電鉄|東武鉄道,4,A,60,駅データ.jp
1131339,1131339,千葉,千葉,千葉県,千葉市,千葉市中央区,千葉市中央区新千葉１丁目,35.612862,140.113341,JR中央・総武線|JR内房線|JR外房線|JR成田エクスプレス|JR総武本線|京成千葉線|千葉都市モノレール１号線|千葉都市モノレール２号線,JR東日本|京成電鉄|千葉都市モノレール,8,S,80,駅データ.jp
1131402,1131402,新日本橋,東京,東京都,中央区,中央区,中央区日本橋室町４丁目,35.686899,139.773324,JR総武本線|東京メトロ半蔵門線|東京メトロ銀座線,JR東日本|東京メトロ,3,C,24,駅データ.jp
1131403,1131403,馬喰町,馬喰町,東京都,中央区,中央区,中央区日本橋馬喰町１丁目,35.692537,139.783323,JR総武本線|都営新宿線|都営浅草線,JR東日本|東京都交通局,3,C,24,駅データ.jp
1131415,1131415,佐倉,佐倉,千葉県,佐倉市,佐倉市,佐倉市六崎,35.709743,140.226722,JR成田エクスプレス|JR成田線|JR総武本線,JR東日本,3,C,32,駅データ.jp
1131431,1131431,銚子,銚子,千葉県,銚子市,銚子市,銚子市西芝町１丁目,35.729449,140.827557,JR成田線|JR総武本線|銚子電鉄線,JR東日本|銚子電気鉄道,3,C,32,駅データ.jp
1131506,1131506,拝島,拝島,東京都,昭島市,昭島市,昭島市松原町４丁目,35.721278,139.343468,JR五日市線|JR八高線(八王子～高麗川)|JR青梅線|西武拝島線,JR東日本|西武鉄道,4,C,30,駅データ.jp
1131708,1131708,東飯能,東飯能,埼玉県,飯能市,飯能市,飯能市東町１丁目,35.852928,139.325965,JR八高線(八王子～高麗川)|西武池袋線|西武秩父線,JR東日本|西武鉄道,3,C,32,駅データ.jp
1131709,1131709,高麗川,高麗川,埼玉県,日高市,日高市,日高市原宿,35.896328,139.33809,JR八高線(八王子～高麗川)|JR八高線(高麗川～高崎)|JR川越線,JR東日本,3,C,24,駅データ.jp
1131808,1131808,寄居,寄居,埼玉県,大里郡寄居町,大里郡寄居町,大里郡寄居町大字寄居,36.117804,139.19431,JR八高線(高麗川～高崎)|東武東上線|秩父鉄道秩父本線,JR東日本|東武鉄道|秩父鉄道,3,C,24,駅データ.jp
1131816,1131816,高崎,高崎,群馬県,高崎市,高崎市,高崎市八島町,36.322004,139.012332,JR上越線|JR両毛線|JR信越本線|JR八高線(高麗川～高崎)|JR高崎線|上信電鉄,JR東日本|上信電鉄,6,B,53,駅データ.jp
1131903,1131903,赤羽,赤羽,東京都,北区,北区,北区赤羽１丁目,35.778026,139.720928,JR京浜東北線|JR埼京線|JR湘南新宿ライン|JR高崎線|宇都宮線,JR東日本,5,C,35,駅データ.jp
1131904,1131904,浦和,浦和,埼玉県,さいたま市,さいたま市浦和区,さいたま市浦和区高砂１丁目,35.858496,139.657109,JR京浜東北線|JR湘南新宿ライン|JR高崎線|宇都宮線,JR東日本,4,A,60,駅データ.jp
