station_id,station_group_id,station_name,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1140822,1140822,越後曽根,新潟県,新潟市,新潟市西蒲区,新潟市西蒲区川崎,37.793544,138.911094,JR越後線,JR東日本,1,D,5,駅データ.jp
1140823,1140823,越後赤塚,新潟県,新潟市,新潟市西区,新潟市西区赤塚,37.816008,138.908201,JR越後線,JR東日本,1,D,5,駅データ.jp
1140824,1140824,内野西が丘,新潟県,新潟市,新潟市西区,新潟市西区内野崎山,37.846355,138.926647,JR越後線,JR東日本,1,D,5,駅データ.jp
1140825,1140825,内野,新潟県,新潟市,新潟市西区,新潟市西区内野町,37.85824,138.936615,JR越後線,JR東日本,1,D,5,駅データ.jp
1140826,1140826,新潟大学前,新潟県,新潟市,新潟市西区,新潟市西区坂井砂山４丁目,37.869178,138.95442,JR越後線,JR東日本,1,D,5,駅データ.jp
1140827,1140827,寺尾,新潟県,新潟市,新潟市西区,新潟市西区寺尾上,37.879106,138.973742,JR越後線,JR東日本,1,D,5,駅データ.jp
1140828,1140828,小針,新潟県,新潟市,新潟市西区,新潟市西区小針南台,37.889591,138.991359,JR越後線,JR東日本,1,D,5,駅データ.jp
1140829,1140829,青山,新潟県,新潟市,新潟市西区,新潟市西区浦山１丁目,37.898546,139.000813,JR越後線,JR東日本,1,D,5,駅データ.jp
1140830,1140830,関屋,新潟県,新潟市,新潟市中央区,新潟市中央区関屋大川前２丁目,37.906015,139.015087,JR越後線,JR東日本,1,D,5,駅データ.jp
1140831,1140831,白山,新潟県,新潟市,新潟市中央区,新潟市中央区白山浦２丁目,37.911829,139.029955,JR越後線,JR東日本,1,D,5,駅データ.jp
1140833,1140833,上所,新潟県,新潟市,新潟市中央区,新潟市中央区下所島1丁目830-3,37.907061,139.045205,JR越後線,JR東日本,1,D,5,駅データ.jp
1140901,1140901,松本,長野県,松本市,松本市,松本市深志１丁目,36.230622,137.964249,JR篠ノ井線|上高地線|北アルプス線,JR東日本|アルピコ交通,3,C,32,駅データ.jp
1140902,1140902,北松本,長野県,松本市,松本市,松本市白坂１丁目,36.236971,137.960983,北アルプス線,JR東日本,1,D,13,駅データ.jp
1140903,1140903,島内,長野県,松本市,松本市,松本市大字島内青島４５８７,36.246991,137.944817,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140904,1140904,島高松,長野県,松本市,松本市,松本市大字島内,36.246322,137.931576,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140905,1140905,梓橋,長野県,安曇野市,安曇野市,安曇野市豊科高家,36.250162,137.918027,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140906,1140906,一日市場,長野県,安曇野市,安曇野市,安曇野市三郷明盛,36.2596,137.904136,北アルプス線,JR東日本,1,D,5,駅データ.jp
1140907,1140907,中萱,長野県,安曇野市,安曇野市,安曇野市三郷明盛,36.273434,137.903353,北アルプス線,JR東日本,1,D,5,駅データ.jp
